longitude,latitude,altitude
-50.75,-19.85,436.104131652661
-50.65,-19.85,400.079166666667
-50.55,-19.85,385.115625
-50.45,-19.85,432.200138888889
-50.35,-19.85,453.876790633609
-50.25,-19.85,432.116456582633
-50.15,-19.85,424.140625
-50.05,-19.85,443.244375
-49.95,-19.85,468.262152777778
-49.85,-19.85,484.573691460055
-49.75,-19.85,456.317717086835
-49.65,-19.85,517.272111111111
-49.55,-19.85,520.389
-51.15,-19.85,360.696388888889
-51.05,-19.85,389.478555555555
-50.95,-19.85,431.500138888889
-50.85,-19.85,420.286776859504
-51.15,-19.95,351.108055555556
-51.05,-19.95,371.015388888889
-50.95,-19.95,388.327291666667
-50.85,-19.95,390.216597796143
-50.75,-19.95,373.708263305322
-50.65,-19.95,382.97875
-50.55,-19.95,395.954583333333
-50.45,-19.95,392.151111111111
-50.35,-19.95,398.859228650138
-50.25,-19.95,391.988305322129
-50.15,-19.95,390.370763888889
-50.05,-19.95,435.911944444444
-49.95,-19.95,452.782152777778
-49.85,-19.95,433.695661157025
-49.75,-19.95,446.278291316527
-49.65,-19.95,445.281888888889
-49.55,-19.95,461.448166666667
-51.15,-20.05,359.00353200883
-51.05,-20.05,361.678233995585
-50.95,-20.05,349.622130242826
-50.85,-20.05,356.474303541131
-50.75,-20.05,379.594913462074
-50.65,-20.05,409.19646799117
-50.55,-20.05,439.073289183223
-50.45,-20.05,454.721026490066
-50.35,-20.05,434.430901428493
-50.25,-20.05,410.87578607602
-50.15,-20.05,398.414072847682
-50.05,-20.05,405.860761589404
-49.95,-20.05,408.749006622517
-49.85,-20.05,432.726780143397
-49.75,-20.05,424.286994267906
-49.65,-20.05,435.855849889625
-49.55,-20.05,412.805430463576
-51.15,-20.15,349.52954954955
-51.05,-20.15,340.833423423423
-50.95,-20.15,376.706644144144
-50.85,-20.15,389.813547018092
-50.75,-20.15,394.418351124233
-50.65,-20.15,421.073254504505
-50.55,-20.15,441.698817567568
-50.45,-20.15,472.335022522523
-50.35,-20.15,446.486318963592
-50.25,-20.15,445.698046786282
-50.15,-20.15,412.389695945946
-50.05,-20.15,425.140596846847
-49.95,-20.15,409.626689189189
-49.85,-20.15,459.120281438463
-49.75,-20.15,491.397229161935
-49.65,-20.15,506.745315315315
-49.55,-20.15,465.16054054054
-52.65,-28.05,630.333156732892
-52.55,-28.05,641.184768211921
-52.45,-28.05,674.20651214128
-52.35,-28.05,697.834878587197
-52.25,-28.05,617.474172185431
-52.15,-28.05,599.152869757174
-52.05,-28.05,588.827041942605
-51.95,-28.05,636.921247240618
-51.85,-28.05,645.457671081678
-51.75,-28.05,665.843322295806
-51.65,-28.05,808.650055187638
-51.55,-28.05,845.722792494481
-51.45,-28.05,820.154249448124
-51.35,-28.05,905.148123620309
-51.25,-28.05,892.023565121413
-51.15,-28.05,805.65651214128
-51.05,-28.05,809.481898454746
-52.65,-28.15,636.487651006711
-52.55,-28.15,643.726845637584
-52.45,-28.15,681.622091722595
-52.35,-28.15,682.196476510067
-52.25,-28.15,604.613199105145
-52.15,-28.15,641.802628635347
-52.05,-28.15,612.531879194631
-51.95,-28.15,642.730984340045
-51.85,-28.15,662.948657718121
-51.75,-28.15,646.628914988814
-51.65,-28.15,736.325279642058
-51.55,-28.15,837.703467561521
-51.45,-28.15,831.05548098434
-51.35,-28.15,890.960402684564
-51.25,-28.15,922.06303131991
-51.15,-28.15,889.722237136465
-51.05,-28.15,871.494272930649
-52.65,-28.25,641.426333333333
-52.55,-28.25,647.352444444445
-52.45,-28.25,678.797708333333
-52.35,-28.25,676.203402777778
-52.25,-28.25,654.004513888889
-52.15,-28.25,671.612986111111
-52.05,-28.25,691.759791666667
-51.95,-28.25,698.118472222222
-51.85,-28.25,726.871875
-51.75,-28.25,725.089861111111
-51.65,-28.25,720.308541666667
-51.55,-28.25,779.935833333333
-51.45,-28.25,853.494791666667
-51.35,-28.25,882.983402777778
-51.25,-28.25,927.491666666667
-51.15,-28.25,938.627111111111
-51.05,-28.25,910.345277777778
-52.65,-28.35,593.538555555556
-52.55,-28.35,629.932833333333
-52.45,-28.35,686.996736111111
-52.35,-28.35,697.032569444444
-52.25,-28.35,719.920486111111
-52.15,-28.35,749.776041666667
-52.05,-28.35,785.740833333333
